Date ,Price ,Open ,High ,Low ,Vol. ,Change %
"Apr 15, 2009 ",141.81 ,137.09 ,143.39 ,131.98 ,5.14M ,0.08%
"Apr 16, 2009 ",146.37 ,142.36 ,149.69 ,138.67 ,3.87M ,3.22%
"Apr 17, 2009 ",144.97 ,147.74 ,154.12 ,142.55 ,4.32M ,-0.96%
"Apr 20, 2009 ",144.34 ,145.00 ,149.11 ,141.47 ,1.87M ,-0.43%
"Apr 21, 2009 ",144.74 ,142.36 ,148.66 ,140.15 ,1.47M ,0.28%
"Apr 22, 2009 ",148.19 ,158.71 ,158.71 ,143.95 ,6.14M ,2.38%
"Apr 23, 2009 ",164.98 ,148.69 ,168.44 ,148.69 ,8.15M ,11.33%
"Apr 24, 2009 ",164.64 ,166.09 ,167.36 ,158.87 ,3.96M ,-0.21%
"Apr 27, 2009 ",171.86 ,163.45 ,173.55 ,160.53 ,3.69M ,4.39%
"Apr 28, 2009 ",166.30 ,174.00 ,174.00 ,165.04 ,2.65M ,-3.24%
"Apr 29, 2009 ",174.45 ,166.88 ,175.82 ,166.88 ,3.16M ,4.90%
"May 04, 2009 ",192.74 ,174.11 ,194.51 ,174.11 ,3.74M ,10.48%
"May 05, 2009 ",194.83 ,197.04 ,197.04 ,186.36 ,3.30M ,1.08%
"May 06, 2009 ",189.50 ,195.09 ,197.15 ,186.71 ,4.89M ,-2.74%
"May 07, 2009 ",200.97 ,189.82 ,202.84 ,186.13 ,4.67M ,6.05%
"May 08, 2009 ",187.23 ,201.42 ,202.21 ,185.86 ,4.60M ,-6.84%
"May 11, 2009 ",184.33 ,188.24 ,189.82 ,179.33 ,2.05M ,-1.55%
"May 12, 2009 ",197.46 ,183.49 ,199.70 ,181.91 ,3.85M ,7.12%
"May 13, 2009 ",197.49 ,196.67 ,206.69 ,192.53 ,3.78M ,0.02%
"May 14, 2009 ",191.61 ,189.79 ,196.12 ,187.74 ,2.44M ,-2.98%
"May 15, 2009 ",199.10 ,195.09 ,202.37 ,192.98 ,2.38M ,3.91%
"May 18, 2009 ",219.85 ,210.91 ,242.52 ,210.91 ,66.73K ,10.42%
"May 19, 2009 ",203.18 ,222.17 ,231.47 ,200.42 ,8.05M ,-7.58%
"May 20, 2009 ",208.93 ,205.64 ,211.23 ,198.02 ,4.12M ,2.83%
"May 21, 2009 ",198.18 ,207.22 ,208.43 ,196.83 ,1.76M ,-5.15%
"May 22, 2009 ",194.75 ,198.25 ,198.25 ,191.45 ,1.79M ,-1.73%
"May 25, 2009 ",193.48 ,195.09 ,197.38 ,187.45 ,1.75M ,-0.65%
"May 26, 2009 ",197.20 ,193.88 ,200.34 ,193.51 ,1.98M ,1.92%
"May 27, 2009 ",199.97 ,204.42 ,204.42 ,195.62 ,2.27M ,1.40%
"May 28, 2009 ",194.64 ,199.84 ,203.95 ,190.93 ,5.87M ,-2.67%
"May 29, 2009 ",201.55 ,198.49 ,202.89 ,195.62 ,2.14M ,3.55%
"Jun 01, 2009 ",210.33 ,203.05 ,210.91 ,202.47 ,2.10M ,4.36%
"Jun 02, 2009 ",206.53 ,213.55 ,215.65 ,204.69 ,2.54M ,-1.81%
"Jun 03, 2009 ",208.85 ,208.27 ,210.38 ,204.74 ,1.36M ,1.12%
"Jun 04, 2009 ",205.98 ,207.75 ,209.70 ,203.66 ,1.52M ,-1.37%
"Jun 05, 2009 ",207.46 ,208.06 ,211.38 ,203.74 ,2.26M ,0.72%
"Jun 08, 2009 ",213.91 ,209.70 ,216.92 ,207.75 ,2.92M ,3.11%
"Jun 09, 2009 ",223.35 ,211.57 ,229.36 ,209.33 ,3.72M ,4.41%
"Jun 10, 2009 ",227.94 ,224.09 ,239.91 ,223.35 ,5.17M ,2.06%
"Jun 11, 2009 ",223.46 ,226.73 ,227.73 ,219.66 ,2.03M ,-1.97%
"Jun 12, 2009 ",216.18 ,224.09 ,226.17 ,213.65 ,1.48M ,-3.26%
"Jun 15, 2009 ",211.94 ,217.24 ,221.40 ,207.19 ,2.71M ,-1.96%
"Jun 16, 2009 ",209.06 ,205.64 ,211.81 ,204.21 ,2.57M ,-1.36%
"Jun 17, 2009 ",200.57 ,209.33 ,209.33 ,197.99 ,2.76M ,-4.06%
"Jun 18, 2009 ",198.62 ,193.40 ,206.06 ,193.40 ,2.77M ,-0.97%
"Jun 19, 2009 ",200.55 ,200.36 ,202.68 ,197.73 ,2.33M ,0.97%
"Jun 22, 2009 ",200.02 ,201.42 ,205.53 ,197.38 ,2.98M ,-0.26%
"Jun 23, 2009 ",198.99 ,195.83 ,201.26 ,195.64 ,3.06M ,-0.51%
"Jun 24, 2009 ",201.02 ,200.42 ,207.22 ,195.38 ,2.74M ,1.02%
"Jun 25, 2009 ",197.49 ,202.95 ,204.42 ,193.51 ,7.21M ,-1.76%
"Jun 26, 2009 ",202.63 ,200.36 ,204.05 ,197.20 ,2.02M ,2.60%
"Jun 29, 2009 ",199.94 ,203.00 ,203.00 ,198.54 ,1.54M ,-1.33%
"Jun 30, 2009 ",199.28 ,200.36 ,203.32 ,197.44 ,1.44M ,-0.33%
"Jul 01, 2009 ",199.99 ,199.31 ,202.71 ,195.78 ,2.32M ,0.36%
"Jul 02, 2009 ",201.29 ,200.42 ,202.89 ,196.78 ,1.68M ,0.65%
"Jul 03, 2009 ",203.18 ,201.42 ,204.05 ,198.36 ,2.10M ,0.94%
"Jul 06, 2009 ",196.25 ,204.05 ,207.69 ,194.04 ,1.68M ,-3.41%
"Jul 07, 2009 ",199.63 ,195.09 ,202.68 ,195.09 ,1.72M ,1.72%
"Jul 08, 2009 ",197.81 ,197.60 ,200.86 ,192.72 ,1.58M ,-0.91%
"Jul 09, 2009 ",196.83 ,197.86 ,201.37 ,193.25 ,1.12M ,-0.50%
"Jul 10, 2009 ",202.87 ,198.25 ,207.14 ,198.25 ,4.52M ,3.07%
"Jul 13, 2009 ",205.08 ,203.00 ,208.06 ,200.47 ,1.91M ,1.09%
"Jul 14, 2009 ",211.09 ,206.69 ,214.52 ,205.35 ,1.78M ,2.93%
"Jul 15, 2009 ",217.87 ,214.60 ,218.55 ,212.49 ,1.96M ,3.21%
"Jul 16, 2009 ",219.66 ,219.61 ,224.51 ,218.82 ,2.18M ,0.82%
"Jul 17, 2009 ",226.44 ,220.69 ,230.26 ,220.69 ,2.29M ,3.09%
"Jul 20, 2009 ",242.49 ,227.44 ,255.62 ,227.44 ,6.90M ,7.09%
"Jul 21, 2009 ",241.86 ,245.18 ,248.24 ,239.91 ,3.27M ,-0.26%
"Jul 22, 2009 ",237.88 ,242.81 ,252.46 ,235.43 ,6.00M ,-1.65%
"Jul 23, 2009 ",240.70 ,241.02 ,243.49 ,237.56 ,2.14M ,1.19%
"Jul 24, 2009 ",242.86 ,239.91 ,243.81 ,235.59 ,1.11M ,0.90%
"Jul 27, 2009 ",242.70 ,244.13 ,247.19 ,241.07 ,1.03M ,-0.07%
"Jul 28, 2009 ",244.63 ,243.07 ,247.03 ,237.91 ,2.05M ,0.80%
"Jul 29, 2009 ",246.29 ,240.96 ,248.35 ,239.96 ,1.55M ,0.68%
"Jul 30, 2009 ",256.91 ,243.60 ,261.37 ,243.60 ,4.67M ,4.31%
"Jul 31, 2009 ",258.44 ,258.42 ,261.53 ,253.88 ,1.72M ,0.60%
"Aug 03, 2009 ",258.86 ,260.95 ,261.00 ,255.49 ,1.20M ,0.16%
"Aug 04, 2009 ",254.36 ,262.32 ,263.48 ,251.43 ,1.26M ,-1.74%
"Aug 05, 2009 ",262.66 ,254.15 ,266.01 ,253.62 ,2.22M ,3.26%
"Aug 06, 2009 ",262.90 ,263.58 ,269.38 ,259.66 ,3.99M ,0.09%
"Aug 07, 2009 ",263.53 ,261.00 ,268.86 ,259.05 ,3.23M ,0.24%
"Aug 10, 2009 ",270.62 ,265.22 ,275.50 ,262.66 ,3.87M ,2.69%
"Aug 11, 2009 ",268.33 ,268.91 ,275.24 ,263.90 ,2.15M ,-0.85%
"Aug 12, 2009 ",266.72 ,266.27 ,267.75 ,256.31 ,1.58M ,-0.60%
"Aug 13, 2009 ",272.42 ,267.85 ,273.50 ,267.43 ,1.46M ,2.14%
"Aug 14, 2009 ",269.67 ,271.55 ,272.57 ,263.85 ,1.03M ,-1.01%
"Aug 17, 2009 ",262.03 ,266.27 ,269.67 ,260.08 ,1.43M ,-2.83%
"Aug 18, 2009 ",263.85 ,259.42 ,268.83 ,259.42 ,1.25M ,0.69%
"Aug 19, 2009 ",260.92 ,263.11 ,267.04 ,256.52 ,1.47M ,-1.11%
"Aug 20, 2009 ",266.06 ,263.69 ,269.28 ,262.11 ,1.06M ,1.97%
"Aug 21, 2009 ",270.49 ,265.22 ,272.02 ,262.21 ,1.40M ,1.67%
"Aug 24, 2009 ",276.48 ,273.13 ,277.87 ,271.55 ,1.29M ,2.21%
"Aug 25, 2009 ",286.70 ,275.21 ,289.47 ,274.71 ,3.40M ,3.70%
"Aug 26, 2009 ",293.69 ,285.65 ,298.44 ,285.57 ,2.88M ,2.44%
"Aug 27, 2009 ",299.86 ,295.27 ,302.29 ,290.82 ,5.02M ,2.10%
"Aug 28, 2009 ",297.86 ,300.55 ,303.55 ,293.24 ,1.25M ,-0.67%
"Aug 31, 2009 ",289.97 ,294.14 ,294.14 ,288.95 ,993.07K ,-2.65%
"Sep 01, 2009 ",294.77 ,290.53 ,297.17 ,290.00 ,1.74M ,1.66%
"Sep 02, 2009 ",292.29 ,292.64 ,297.91 ,291.16 ,1.35M ,-0.84%
"Sep 03, 2009 ",290.84 ,292.64 ,295.22 ,286.89 ,1.62M ,-0.50%
"Sep 04, 2009 ",291.21 ,291.32 ,293.16 ,288.42 ,1.47M ,0.13%
"Sep 07, 2009 ",292.29 ,293.16 ,296.85 ,291.05 ,2.89M ,0.37%
"Sep 08, 2009 ",290.37 ,293.69 ,295.17 ,289.60 ,1.33M ,-0.66%
"Sep 09, 2009 ",286.07 ,290.66 ,292.64 ,283.73 ,1.66M ,-1.48%
"Sep 10, 2009 ",286.60 ,287.89 ,290.98 ,284.41 ,1.56M ,0.19%
"Sep 11, 2009 ",290.50 ,287.63 ,294.17 ,287.44 ,2.35M ,1.36%
"Sep 14, 2009 ",293.93 ,290.00 ,296.75 ,288.95 ,1.71M ,1.18%
"Sep 15, 2009 ",294.98 ,295.27 ,299.70 ,293.43 ,1.45M ,0.36%
"Sep 16, 2009 ",292.58 ,297.72 ,297.72 ,291.11 ,1.49M ,-0.81%
"Sep 17, 2009 ",298.57 ,293.74 ,303.39 ,293.74 ,2.93M ,2.05%
"Sep 18, 2009 ",300.10 ,297.12 ,301.81 ,296.33 ,1.94M ,0.51%
"Sep 22, 2009 ",304.26 ,301.71 ,305.55 ,298.23 ,1.24M ,1.39%
"Sep 23, 2009 ",298.88 ,303.60 ,306.87 ,296.49 ,1.74M ,-1.77%
"Sep 24, 2009 ",306.24 ,295.27 ,308.67 ,291.37 ,2.90M ,2.46%
"Sep 25, 2009 ",298.62 ,306.24 ,307.93 ,297.17 ,1.56M ,-2.49%
"Sep 29, 2009 ",306.90 ,301.60 ,310.56 ,300.39 ,2.40M ,2.77%
"Sep 30, 2009 ",317.47 ,307.16 ,319.47 ,307.16 ,4.46M ,3.44%
"Oct 01, 2009 ",320.61 ,318.47 ,324.27 ,312.28 ,3.03M ,0.99%
"Oct 05, 2009 ",320.87 ,316.36 ,324.80 ,316.36 ,2.07M ,0.08%
"Oct 06, 2009 ",316.13 ,322.53 ,326.65 ,311.49 ,2.49M ,-1.48%
"Oct 07, 2009 ",301.71 ,316.36 ,318.84 ,301.18 ,2.50M ,-4.56%
"Oct 08, 2009 ",297.99 ,304.76 ,305.82 ,295.85 ,2.42M ,-1.23%
"Oct 09, 2009 ",290.84 ,302.13 ,304.08 ,288.95 ,4.57M ,-2.40%
"Oct 12, 2009 ",302.39 ,293.16 ,303.66 ,291.69 ,1.81M ,3.97%
"Oct 14, 2009 ",306.71 ,303.31 ,310.04 ,303.31 ,1.63M ,1.43%
"Oct 15, 2009 ",303.16 ,308.48 ,310.14 ,298.49 ,1.27M ,-1.16%
"Oct 16, 2009 ",301.81 ,304.37 ,308.35 ,300.55 ,1.75M ,-0.45%
"Oct 17, 2009 ",302.52 ,304.24 ,306.29 ,301.15 ,128.68K ,0.24%
"Oct 20, 2009 ",307.93 ,306.16 ,314.86 ,304.29 ,1.84M ,1.79%
"Oct 21, 2009 ",309.27 ,308.45 ,316.10 ,308.45 ,1.90M ,0.44%
"Oct 22, 2009 ",304.26 ,310.04 ,313.54 ,301.78 ,1.70M ,-1.62%
"Oct 23, 2009 ",310.46 ,309.51 ,313.44 ,305.87 ,1.53M ,2.04%
"Oct 26, 2009 ",311.83 ,311.09 ,316.89 ,310.56 ,1.80M ,0.44%
"Oct 27, 2009 ",319.34 ,320.16 ,325.85 ,313.73 ,5.08M ,2.41%
"Oct 28, 2009 ",329.91 ,322.85 ,331.92 ,317.95 ,3.53M ,3.31%
"Oct 29, 2009 ",329.28 ,325.70 ,333.24 ,323.80 ,3.31M ,-0.19%
"Oct 30, 2009 ",319.47 ,333.24 ,337.14 ,313.86 ,4.29M ,-2.98%
"Nov 03, 2009 ",306.56 ,317.95 ,321.58 ,303.23 ,2.56M ,-4.04%
"Nov 04, 2009 ",315.12 ,306.87 ,319.53 ,306.79 ,1.71M ,2.79%
"Nov 05, 2009 ",316.31 ,314.76 ,318.34 ,304.82 ,1.50M ,0.38%
"Nov 06, 2009 ",315.55 ,319.00 ,322.69 ,313.81 ,1.72M ,-0.24%
"Nov 09, 2009 ",318.00 ,316.36 ,319.26 ,313.78 ,1.12M ,0.78%
"Nov 10, 2009 ",313.04 ,321.11 ,322.43 ,311.17 ,1.80M ,-1.56%
"Nov 11, 2009 ",325.14 ,315.31 ,326.75 ,314.52 ,1.98M ,3.87%
"Nov 12, 2009 ",329.28 ,325.33 ,332.60 ,324.59 ,3.21M ,1.27%
"Nov 13, 2009 ",333.71 ,330.60 ,335.03 ,327.44 ,1.34M ,1.35%
"Nov 16, 2009 ",336.24 ,332.18 ,338.51 ,330.07 ,1.20M ,0.76%
"Nov 17, 2009 ",338.77 ,336.24 ,342.62 ,334.92 ,2.01M ,0.75%
"Nov 18, 2009 ",339.88 ,337.98 ,347.68 ,337.98 ,2.28M ,0.33%
"Nov 19, 2009 ",340.70 ,339.56 ,345.05 ,337.59 ,1.81M ,0.24%
"Nov 20, 2009 ",342.23 ,337.98 ,344.20 ,332.21 ,1.93M ,0.45%
"Nov 23, 2009 ",340.04 ,340.70 ,350.48 ,339.56 ,1.34M ,-0.64%
"Nov 24, 2009 ",341.22 ,341.15 ,345.28 ,339.04 ,1.13M ,0.35%
"Nov 25, 2009 ",340.35 ,339.04 ,345.18 ,339.04 ,1.61M ,-0.25%
"Nov 26, 2009 ",331.81 ,341.20 ,345.57 ,329.55 ,2.30M ,-2.51%
"Nov 27, 2009 ",328.28 ,333.24 ,338.51 ,321.66 ,2.12M ,-1.06%
"Nov 30, 2009 ",331.68 ,333.13 ,336.93 ,330.07 ,1.91M ,1.04%
"Dec 01, 2009 ",336.48 ,332.84 ,337.82 ,332.84 ,1.42M ,1.45%
"Dec 02, 2009 ",333.76 ,338.51 ,338.51 ,332.18 ,1.30M ,-0.81%
"Dec 03, 2009 ",337.82 ,335.35 ,342.57 ,335.35 ,1.03M ,1.22%
"Dec 04, 2009 ",336.35 ,337.30 ,345.89 ,335.35 ,2.14M ,-0.44%
"Dec 07, 2009 ",336.32 ,337.45 ,341.15 ,334.61 ,1.02M ,-0.01%
"Dec 08, 2009 ",341.44 ,337.30 ,343.23 ,334.82 ,1.36M ,1.52%
"Dec 09, 2009 ",345.18 ,339.04 ,347.47 ,339.04 ,2.27M ,1.10%
"Dec 10, 2009 ",341.88 ,345.36 ,347.74 ,340.62 ,1.12M ,-0.96%
"Dec 11, 2009 ",339.77 ,344.31 ,347.18 ,338.64 ,1.59M ,-0.62%
"Dec 14, 2009 ",347.24 ,340.35 ,348.69 ,339.83 ,1.73M ,2.20%
"Dec 15, 2009 ",347.53 ,347.47 ,349.95 ,344.76 ,2.03M ,0.08%
"Dec 16, 2009 ",353.83 ,347.42 ,355.91 ,346.95 ,2.57M ,1.81%
"Dec 17, 2009 ",354.12 ,356.44 ,361.66 ,352.48 ,2.69M ,0.08%
"Dec 18, 2009 ",355.75 ,355.38 ,366.22 ,353.80 ,4.93M ,0.46%
"Dec 21, 2009 ",357.15 ,358.49 ,364.87 ,355.96 ,3.57M ,0.39%
"Dec 22, 2009 ",357.86 ,358.68 ,363.71 ,352.75 ,1.84M ,0.20%
"Dec 23, 2009 ",365.66 ,361.18 ,366.45 ,358.02 ,2.45M ,2.18%
"Dec 24, 2009 ",366.14 ,366.45 ,369.04 ,363.84 ,1.70M ,0.13%
"Dec 29, 2009 ",359.13 ,366.45 ,367.48 ,357.15 ,2.16M ,-1.91%
"Dec 30, 2009 ",359.26 ,357.02 ,363.37 ,357.02 ,1.44M ,0.04%
"Dec 31, 2009 ",358.55 ,358.55 ,363.11 ,356.81 ,2.35M ,-0.20%
"Jan 04, 2010 ",365.82 ,361.18 ,367.51 ,356.41 ,1.28M ,2.03%
"Jan 05, 2010 ",371.60 ,367.14 ,373.31 ,365.69 ,1.87M ,1.58%
"Jan 06, 2010 ",364.08 ,372.25 ,374.36 ,362.24 ,1.72M ,-2.02%
"Jan 07, 2010 ",357.62 ,366.45 ,366.72 ,355.91 ,1.72M ,-1.77%
"Jan 08, 2010 ",352.24 ,358.02 ,358.55 ,351.16 ,1.07M ,-1.50%
"Jan 11, 2010 ",348.74 ,351.69 ,359.13 ,346.02 ,2.13M ,-0.99%
"Jan 12, 2010 ",365.82 ,354.33 ,371.09 ,354.33 ,3.90M ,4.90%
"Jan 13, 2010 ",377.32 ,367.48 ,379.64 ,363.00 ,4.23M ,3.14%
"Jan 14, 2010 ",390.76 ,379.53 ,396.88 ,373.41 ,7.31M ,3.56%
"Jan 15, 2010 ",388.02 ,381.22 ,393.66 ,380.69 ,5.50M ,-0.70%
"Jan 18, 2010 ",394.14 ,387.55 ,396.09 ,384.96 ,3.00M ,1.58%
"Jan 19, 2010 ",389.63 ,398.54 ,398.54 ,384.96 ,1.54M ,-1.14%
"Jan 20, 2010 ",383.09 ,395.45 ,395.45 ,380.45 ,3.91M ,-1.68%
"Jan 21, 2010 ",374.07 ,383.85 ,389.65 ,372.31 ,3.21M ,-2.35%
"Jan 22, 2010 ",369.12 ,369.09 ,377.00 ,366.74 ,2.86M ,-1.32%
"Jan 25, 2010 ",366.51 ,366.45 ,371.20 ,361.60 ,1.50M ,-0.71%
"Jan 27, 2010 ",345.57 ,363.82 ,363.92 ,342.86 ,3.08M ,-5.71%
"Jan 28, 2010 ",355.09 ,355.38 ,363.19 ,345.63 ,2.55M ,2.75%
"Jan 29, 2010 ",341.65 ,350.64 ,351.16 ,332.97 ,3.68M ,-3.78%
